"07/31/2020","782.18","*","","ONLINE PAYMENT"
"07/29/2020","-10.15","*","","CHICK-FIL-A #01890 CHARLOTTE NC"
"07/28/2020","-8.66","*","","CHIPOTLE 2939 CHARLOTTE NC"
"07/26/2020","-49.45","*","","TARGET 00020800 CHARLOTTE NC"
"07/25/2020","-12.11","*","","BUFFALO SHOALS SUPE NEWTON NC"
"07/24/2020","-548.86","*","","DISCOUNT TIRE NCC 33 CHARLOTTE NC"
"07/24/2020","-20.75","*","","MARATHON PETRO202895 HUNTERSVILLE NC"
"07/23/2020","-14.50","*","","THE UPS STORE #6627 HUNTERSVILLE NC"
"07/22/2020","-9.52","*","","5GUYS 0500 QSR CHARLOTTE NC"
"07/21/2020","-82.53","*","","VZWRLSS*IVR VE 800-922-0204 FL"
"07/21/2020","-10.15","*","","CHICK-FIL-A #01890 CHARLOTTE NC"
"07/21/2020","329.40","*","","ONLINE PAYMENT"
"07/20/2020","-25.65","*","","VERDE MEXI* VERDE MEXI STRIPE.COM NC"
"07/19/2020","-40.96","*","","TARGET 00020800 CHARLOTTE NC"
"07/16/2020","-56.73","*","","HARRIS TEETER #472 CHARLOTTE NC"
"07/14/2020","-24.33","*","","TARGET 00020800 CHARLOTTE NC"
"07/13/2020","-14.11","*","","VERDE MEXI* VERDE MEXI STRIPE.COM NC"
"07/11/2020","-53.91","*","","HARRIS TEETER #0209 HUNTERSVILLE NC"
"07/11/2020","-10.99","*","","TARGET 00020800 CHARLOTTE NC"
"07/09/2020","-9.52","*","","5GUYS 0500 QSR CHARLOTTE NC"
"07/09/2020","-48.20","*","","TARGET 00020800 CHARLOTTE NC"
"07/06/2020","-16.03","*","","VERDE MEXI* VERDE MEXI STRIPE.COM NC"
"07/05/2020","-54.62","*","","TARGET 00020800 CHARLOTTE NC"
"07/04/2020","220.66","*","","ONLINE PAYMENT"
"07/01/2020","-55.19","*","","TARGET 00020800 CHARLOTTE NC"
